RegionName,StateName,Median Rent
"Gettysburg, PA",PA,"$1,260"
"Sunbury, PA",PA,$961
"New Castle, PA",PA,"$1,020"
"Indiana, PA",PA,$831
"Bloomsburg, PA",PA,"$1,129"
"DuBois, PA",PA,"$1,025"
"Oil City, PA",PA,$875
"Lewisburg, PA",PA,"$1,236"
"Bradford, PA",PA,$825
"Selinsgrove, PA",PA,"$1,104"
"Lock Haven, PA",PA,$907
"Providence, RI",RI,"$2,075"
"Greenville, SC",SC,"$1,539"
"Columbia, SC",SC,"$1,542"
"Charleston, SC",SC,"$1,928"
"Myrtle Beach, SC",SC,"$1,712"
"Spartanburg, SC",SC,"$1,411"
"Hilton Head Island, SC",SC,"$2,037"
"Florence, SC",SC,"$1,263"
"Sumter, SC",SC,"$1,378"
"Orangeburg, SC",SC,"$1,179"
"Seneca, SC",SC,"$1,393"
"Greenwood, SC",SC,"$1,162"
"Georgetown, SC",SC,"$1,767"
"Gaffney, SC",SC,"$1,035"
"Sioux Falls, SD",SD,"$1,239"
"Rapid City, SD",SD,"$1,302"
"Aberdeen, SD",SD,$938
"Brookings, SD",SD,"$1,322"
"Mitchell, SD",SD,$995
"Vermillion, SD",SD,$750
"Nashville, TN",TN,"$1,765"
"Memphis, TN",TN,"$1,401"
"Knoxville, TN",TN,"$1,715"
"Chattanooga, TN",TN,"$1,497"
"Clarksville, TN",TN,"$1,348"
"Kingsport, TN",TN,"$1,282"
"Johnson City, TN",TN,"$1,484"
"Jackson, TN",TN,"$1,328"
"Morristown, TN",TN,"$1,481"
"Cleveland, TN",TN,"$1,329"
"Cookeville, TN",TN,"$1,442"
"Tullahoma, TN",TN,"$1,426"
"Sevierville, TN",TN,"$1,718"
"Greeneville, TN",TN,"$1,163"
"Crossville, TN",TN,"$1,633"
"Athens, TN",TN,"$1,173"
"Shelbyville, TN",TN,"$1,799"
"Dyersburg, TN",TN,$944
"Brownsville, TN",TN,"$1,041"
"Dallas, TX",TX,"$1,642"
"Houston, TX",TX,"$1,617"
"San Antonio, TX",TX,"$1,362"
"Austin, TX",TX,"$1,568"
"McAllen, TX",TX,"$1,126"
"El Paso, TX",TX,"$1,496"
"Killeen, TX",TX,"$1,300"
"Corpus Christi, TX",TX,"$1,415"
"Brownsville, TX",TX,"$1,428"
"Beaumont, TX",TX,"$1,309"
"Lubbock, TX",TX,"$1,344"
"Longview, TX",TX,"$1,215"
"Waco, TX",TX,"$1,470"
"Amarillo, TX",TX,"$1,227"
"Laredo, TX",TX,"$1,296"
"College Station, TX",TX,"$1,904"
"Tyler, TX",TX,"$1,330"
"Abilene, TX",TX,"$1,691"
"Midland, TX",TX,"$1,586"
"Odessa, TX",TX,"$1,550"
"Wichita Falls, TX",TX,"$1,196"
"Texarkana, TX",TX,"$1,249"
"Sherman, TX",TX,"$1,408"
"San Angelo, TX",TX,"$1,406"
"Victoria, TX",TX,"$1,126"
"Lufkin, TX",TX,"$1,358"
"Athens, TX",TX,"$1,367"
"Huntsville, TX",TX,"$1,277"
"Nacogdoches, TX",TX,$970
"Granbury, TX",TX,"$1,685"
"Palestine, TX",TX,"$1,384"
"Eagle Pass, TX",TX,"$1,200"
"Kerrville, TX",TX,"$1,721"
"Corsicana, TX",TX,"$1,455"
"Paris, TX",TX,"$1,425"
"Del Rio, TX",TX,"$1,394"
"Mount Pleasant, TX",TX,"$1,723"
"Stephenville, TX",TX,"$1,005"
"Brownwood, TX",TX,$945
"Sulphur Springs, TX",TX,"$1,508"
"Bay City, TX",TX,$908
"Brenham, TX",TX,"$1,745"
"Bonham, TX",TX,"$1,433"
"Big Spring, TX",TX,"$1,131"
"Kingsville, TX",TX,"$1,263"
"Fredericksburg, TX",TX,"$1,713"
"Rockport, TX",TX,"$1,622"
"Pampa, TX",TX,"$1,150"
"Andrews, TX",TX,"$1,617"
"Snyder, TX",TX,"$1,175"
"Salt Lake City, UT",UT,"$1,600"
"Ogden, UT",UT,"$1,655"
"Provo, UT",UT,"$1,767"
"St. George, UT",UT,"$1,920"
"Logan, UT",UT,"$1,504"
"Heber, UT",UT,"$2,768"
"Cedar City, UT",UT,"$1,491"
"Vernal, UT",UT,"$1,470"
"Price, UT",UT,$950
"Washington, DC",VA,"$2,343"
"Virginia Beach, VA",VA,"$1,782"
"Richmond, VA",VA,"$1,651"
"Roanoke, VA",VA,"$1,362"
"Lynchburg, VA",VA,"$1,273"
"Charlottesville, VA",VA,"$1,939"
"Blacksburg, VA",VA,"$1,815"
"Winchester, VA",VA,"$1,719"
"Harrisonburg, VA",VA,"$1,698"
"Staunton, VA",VA,"$1,393"
"Bluefield, WV",VA,$907
"Danville, VA",VA,"$1,178"
"Martinsville, VA",VA,$841
"Burlington, VT",VT,"$2,148"
"Rutland, VT",VT,"$1,664"
"Barre, VT",VT,"$1,346"
"Bennington, VT",VT,"$1,565"
"Seattle, WA",WA,"$2,185"
"Spokane, WA",WA,"$1,500"
"Kennewick, WA",WA,"$1,722"
"Olympia, WA",WA,"$2,055"
"Bremerton, WA",WA,"$2,015"
"Yakima, WA",WA,"$1,300"
"Bellingham, WA",WA,"$1,990"
"Mount Vernon, WA",WA,"$2,100"
"Wenatchee, WA",WA,"$1,779"
"Longview, WA",WA,"$1,417"
